id,author_id,created_at,event_type,text,action,objec_tw,post_content,username,action_option,tweet_page,tweet_option,tweet_option_2,content_option,action_object_answer,action_content_answer,action_type_answer,trigger_news
t1495405629330145289,56399493,2022-02-20 14:30:59+00:00,BlackLivesMatter,Meet the High School Students Who Organized Thousands to Walk Out for Amir Locke @inthesetimesmag  #AmirLocke #BlackLivesMatter,post,-,Meet the High School Students Who Organized Thousands to Walk Out for Amir Locke @i***g https://***pI #AmirLocke #BlackLivesMatter,d***g,"['post', 'retweet', 'reply', 'quote']","[""tweet_A：again, #BlackLivesMatter, eh? Reed beat his ex-wife, &amp; was driving OTHER women's cars around, incl the NYC ACS employee, to his wife's home, demanding visitation for his son. sickest thing I heard from his heartbroken ex: he showed up to court w/ suit on, as she needed help 😭"", 'tweet_B：RT @D***l: Amazon SUSPENDS Black Lives Matter from its charity platform https://***X5', 'tweet_C：I was at a swim meet with my son in Warrenton, VA &amp; happened upon group of people carrying Black Lives Matter and justice for Amir Locke signs. Nothing like being grounded in &amp; by calls for justice when you least expect it. I humbly raised my fist in solidarity. https://***Ko']","[""again, #BlackLivesMatter, eh? Reed beat his ex-wife, &amp; was driving OTHER women's cars around, incl the NYC ACS employee, to his wife's home, demanding visitation for his son. sickest thing I heard from his heartbroken ex: he showed up to court w/ suit on, as she needed help 😭"", 'RT @D***l: Amazon SUSPENDS Black Lives Matter from its charity platform https://***X5', 'I was at a swim meet with my son in Warrenton, VA &amp; happened upon group of people carrying Black Lives Matter and justice for Amir Locke signs. Nothing like being grounded in &amp; by calls for justice when you least expect it. I humbly raised my fist in solidarity. https://***Ko', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['@M***s @S***r 🚀foguete do tipo nasa — uma fancam do #W13 🏎 ▪🏁 #FIA #F1 #FaustaoNaBand #JN #SirPATRON44 #TEAMLH #WeStandWithLewisHamilton #WSL #mercedesf1 #TotoWolff #MercedesW13 #MercedesAMGF1 #OpatrãoTáON #F1naBand #BlackLivesMatter #NFL #wslnosportv #WSLBrasil https://***os', 'Meet the High School Students Who Organized Thousands to Walk Out for Amir Locke @i***g https://***pI #AmirLocke #BlackLivesMatter', '@W***p @T***e @M***D Nobody cheated more than us! 🤣 Me: “Hey Warren, what are you doing here in the D-Line meeting, you’re on offense!?” Sapp: “I’ve come to take your job” Me: “Shiiit, you ain’t taking my job!” * cut to * me watching every game from the sidelines 😂😂😂 #HackAndGash4LIFE💪🏾', '-']",-,1,post,Kimberly Potter was convicted of manslaughter in the death of Daunte Wright. time：2021-12-23
t1275183051245576198,1688078473,2020-06-22 21:45:05+00:00,BlackLivesMatter,"Farah said it, you can quote her ;) “It’s because of civic engagement that love is love, #metoo has become a movement, women’s marches are known, black lives matter, we continue to listen and support those who have something to say, and dreamers are here to stay.” #letsdothis ",post,-,"Farah said it, you can quote her ;) “It’s because of civic engagement that love is love, #metoo has become a movement, women’s marches are known, black lives matter, we continue to listen and support those who have something to say, and dreamers are here to stay.” #letsdothis https://***1K",S***i,"['post', 'retweet', 'reply', 'quote']","['tweet_A：All recording for Panthers and Guerrillas is finally finished! From the Black Panther Party to the Kurdistan Workers Party, from Black Lives Matter to the Rojava Revolution, from Black Women’s Defense League to the YPJ- dive deep with me! Every Wednesday https://***tH', 'tweet_B：Glad to be back! +3 points with an important message: #blacklivesmatter 💪💪🏿 @C***C https://***XH', 'tweet_C：RT @A***o: Honored to mentioned alongside so many amazing scientists! #RepresentationMatters #BLACKandSTEM #BlackLivesMatter 100 mor...']","['All recording for Panthers and Guerrillas is finally finished! From the Black Panther Party to the Kurdistan Workers Party, from Black Lives Matter to the Rojava Revolution, from Black Women’s Defense League to the YPJ- dive deep with me! Every Wednesday https://***tH', 'Glad to be back! +3 points with an important message: #blacklivesmatter 💪💪🏿 @C***C https://***XH', 'RT @A***o: Honored to mentioned alongside so many amazing scientists! #RepresentationMatters #BLACKandSTEM #BlackLivesMatter 100 mor...', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Farah said it, you can quote her ;) “It’s because of civic engagement that love is love, #metoo has become a movement, women’s marches are known, black lives matter, we continue to listen and support those who have something to say, and dreamers are here to stay.” #letsdothis https://***1K', 'If you’re in STEM and you support #BlackLivesMatter, please retweet and like this! I’m trying to see something 🚀👩🏾🚀🛰', ""Send an email to your mayor asking them to implement policies to reduce killings by police. Where I live, we have 3 of 8. Let's do better! https://***t4 #blacklivesmatter #peace #justice #lifelonglearning #getwoke #dothework #getuncomfortable #blackhistory #blm #love https://***05"", '-']",-,0,post,Rayshard Brooks was shot and killed by Atlanta police in a Wendy  s parking lot. time：2020-06-12
t1370789804431060993,1177753685998350341,2021-03-13 17:32:12+00:00,BlackLivesMatter,This. Is. Racism.  “Sen. Ron Johnson: Capitol rioters 'love this country' but I would've been concerned if they'd been Black Lives Matter”  #BLM   ,post,-,This. Is. Racism. “Sen. Ron Johnson: Capitol rioters 'love this country' but I would've been concerned if they'd been Black Lives Matter” #BLM https://***Zo,D***a,"['post', 'retweet', 'reply', 'quote']","['tweet_A：RT @N***G: Breonna Taylor was killed one year ago. Her life mattered. Black women matter. Black Lives Matter.', ""tweet_B：Silencing Black Lives Matter: Priti Patel's anti-protest law - https://***HA https://***ww"", 'tweet_C：We demand accountability of the officers involved in the murder of #BreonnaTaylor. The Taylor family deserves justice. #CriminalJusticeReform #BlackLivesMatter https://***wc']","['RT @N***G: Breonna Taylor was killed one year ago. Her life mattered. Black women matter. Black Lives Matter.', ""Silencing Black Lives Matter: Priti Patel's anti-protest law - https://***HA https://***ww"", 'We demand accountability of the officers involved in the murder of #BreonnaTaylor. The Taylor family deserves justice. #CriminalJusticeReform #BlackLivesMatter https://***wc', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['The legislation passed by the Republican-led House comes after Black Lives Matter protests last summer against racist police violence. https://***Eq # via @H***l', ""This. Is. Racism. “Sen. Ron Johnson: Capitol rioters 'love this country' but I would've been concerned if they'd been Black Lives Matter” #BLM https://***Zo"", '#BlackLivesMatter: @A***a, @R***y, @K***g, @P***k, @J***l, @M***i and myself discuss Breonna Taylor and the #SayHerName Movement. Full Video: https://***d8 https://***Y4', '-']",-,1,post,Protests erupted in Philadelphia after police shot and killed Walter Wallace Jr. time：2020-10-26
t1357039508492062720,3187824193,2021-02-03 18:53:26+00:00,BlackLivesMatter,Proud Boys and Black Lives Matter activists clashed in a Florida suburb. Only one side was charged.   #LeastShockingHeadlines,post,-,Proud Boys and Black Lives Matter activists clashed in a Florida suburb. Only one side was charged. https://***sC #LeastShockingHeadlines,C***n,"['post', 'retweet', 'reply', 'quote']","['tweet_A：‘A time of reckoning.’ How scientists confronted anti-Black racism and built community in 2020 #BlackinChem #BlackinCancer #BlackinBiomed #BlackLivesMatter https://***8d', 'tweet_B：Essence mashup😘 @w***o @s***n #music #singersongwriter #BlackLivesMatter https://***4b', 'tweet_C：This is why the conversation about defunding the police and engaging programs like CAHOOTS is so essential. My heart is broken for this little girl and her family. #BlackLivesMatter #NotOneMore @N***e https://***4P']","['‘A time of reckoning.’ How scientists confronted anti-Black racism and built community in 2020 #BlackinChem #BlackinCancer #BlackinBiomed #BlackLivesMatter https://***8d', 'Essence mashup😘 @w***o @s***n #music #singersongwriter #BlackLivesMatter https://***4b', 'This is why the conversation about defunding the police and engaging programs like CAHOOTS is so essential. My heart is broken for this little girl and her family. #BlackLivesMatter #NotOneMore @N***e https://***4P', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Each @O***l hoodie has a meaningful message about what’s going on in the world around us, from the Black Lives Matter movement to COVID-19 relief. We talked to founder Stephen Smith about building a purposeful brand and driving positive change: https://***6L', 'Proud Boys and Black Lives Matter activists clashed in a Florida suburb. Only one side was charged. https://***Wu', 'Proud Boys and Black Lives Matter activists clashed in a Florida suburb. Only one side was charged. https://***sC #LeastShockingHeadlines', '-']",-,2,post,Protests erupted in Philadelphia after police shot and killed Walter Wallace Jr. time：2020-10-26
t1495384195824336896,725868534,2022-02-20 13:05:49+00:00,BlackLivesMatter,RT @BhmUK: Black Lives Matter is also part of Black British History ,retweet,Black Lives Matter is also part of Black British History https://***FR,-,r***k,"['post', 'retweet', 'reply', 'quote']","['tweet_A：Black Lives Matter is also part of Black British History https://***FR', 'tweet_B：RT @A***P: https://***kV #blacklivesmatter #blackpower', 'tweet_C：Terminando o dia com essa conversa nota 10! Obrigado pelo convite, amigos do Cuida Cast. Pra fechar com chave de ouro, uma mensagem a essa importante categoria, que carrega o Brasil na boleia. 👇 #CiroComCaminhoneiros https://***Aj']","['Black Lives Matter is also part of Black British History https://***FR', 'RT @A***P: https://***kV #blacklivesmatter #blackpower', 'Terminando o dia com essa conversa nota 10! Obrigado pelo convite, amigos do Cuida Cast. Pra fechar com chave de ouro, uma mensagem a essa importante categoria, que carrega o Brasil na boleia. 👇 #CiroComCaminhoneiros https://***Aj', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Check out the February Issue of Power Conversations Magazine!! This Coaches Edition hit in a major way!! Subscribe Now at https://***vK #media #blackmedia #authors #coaches #wysptv #powerconvomag #blacklifecoaches #lifecoaches #blacklivesmatter #matte... https://***NI', '.. nation shall not lift up sword against nation, neither shall they learn war any more. Isaiah 2:4 #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow https://***yD', ""@B***n I'm going with the Confederate belt buckle, hat, jacket, and, finally, the Black Lives Matter poster. What do you think? #Confederate #Confederacy #Fashion #Trends #BlackLivesMatter #Anchorage #Alaska https://***Ds"", '-']",tweet_A,-,retweet,Kimberly Potter was convicted of manslaughter in the death of Daunte Wright. time：2021-12-23
t1491824665286746115,428797408,2022-02-10 17:21:31+00:00,BlackLivesMatter,"RT @GirlTrek: Leidy, a 12-year old Black girl was nearly disqualified for wearing her Black Lives Matter swimsuit. What we’re not gonna do…",retweet,"Leidy, a 12-year old Black girl was nearly disqualified for wearing her Black Lives Matter swimsuit. What we’re not gonna do is be silent about this. Especially during Black History month. https://***bK",-,T***s,"['post', 'retweet', 'reply', 'quote']","['tweet_A：According to a new HuffPost tally, Patriot Front vandalized statues and murals memorializing Black Americans killed by police, or other anti-racist or Black Lives Matter symbols, 40 times in a one-year period. https://***D5', 'tweet_B：Leidy, a 12-year old Black girl was nearly disqualified for wearing her Black Lives Matter swimsuit. What we’re not gonna do is be silent about this. Especially during Black History month. https://***bK', 'tweet_C：Here is Australia covering the no knock warrants being served in Minneapolis Minnesota. #MNnoKnockBan #AmericaStopNoKnockWarrants #BlackLivesMatter #JusticeForAmir w/ @c***e https://***rg https://***qR']","['According to a new HuffPost tally, Patriot Front vandalized statues and murals memorializing Black Americans killed by police, or other anti-racist or Black Lives Matter symbols, 40 times in a one-year period. https://***D5', 'Leidy, a 12-year old Black girl was nearly disqualified for wearing her Black Lives Matter swimsuit. What we’re not gonna do is be silent about this. Especially during Black History month. https://***bK', 'Here is Australia covering the no knock warrants being served in Minneapolis Minnesota. #MNnoKnockBan #AmericaStopNoKnockWarrants #BlackLivesMatter #JusticeForAmir w/ @c***e https://***rg https://***qR', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Check out my Literary Website https://***7s Literary Clothing. #supportreading #hbcu #hbcupride #blackexcellence #hbcugrad #blackgirlmagic #famu #explorepage #blacklivesmatter #aka #hbculove #blackhistory #hbcualumni #explore #atlanta #melanin', 'Black Lives Matter Memphis co-founder Pamela Moses was sentenced to six years in prison last week for trying to register to vote, not knowing she was ineligible due to a felony conviction. Her lawyer is appealing the case. https://***qj', '#BlackLivesMatter', '-']",tweet_B,-,retweet,Kimberly Potter was convicted of manslaughter in the death of Daunte Wright. time：2021-12-23
t1268330610923274242,633955988,2020-06-03 23:55:56+00:00,BlackLivesMatter,"Financially unaffected by the pandemic but still got a stimulus check? Let it match your donations to charities that need it more than you.   I'm splitting mine between @ACLU, @NAACP, @splcenter, and @JuvLaw1975.  #BlackLivesMatter",post,-,"Financially unaffected by the pandemic but still got a stimulus check? Let it match your donations to charities that need it more than you. I'm splitting mine between @A***U, @N***P, @s***r, and @J***5. #BlackLivesMatter",M***k,"['post', 'retweet', 'reply', 'quote']","['tweet_A：人種差別は悲しい事。黒人やラテン系起業家の成功を妨げる不公平な世の中を打開すべく、SBグループは1億ドル(100億円)のファンド (Opportunity Growth Fund)を立ち上げます。#BlackLivesMatter', 'tweet_B：“It is not enough to be quietly non-racist. Now is the time to be vocally anti-racist.” – Angela Davis I stand with #BlackLivesMatter. I hear you. I’m listening to you. I support you. Silence and apathy are not an option. #GeorgeFloyd #CivilRights #BlackOutTuesday https://***wZ', 'tweet_C：8/ I was a hundred feet away from this non-crime and still ended up a victim of chemical warfare. #BlackLivesMatter #JusticeForGeorgeFloyd #oaklandprotest']","['人種差別は悲しい事。黒人やラテン系起業家の成功を妨げる不公平な世の中を打開すべく、SBグループは1億ドル(100億円)のファンド (Opportunity Growth Fund)を立ち上げます。#BlackLivesMatter', '“It is not enough to be quietly non-racist. Now is the time to be vocally anti-racist.” – Angela Davis I stand with #BlackLivesMatter. I hear you. I’m listening to you. I support you. Silence and apathy are not an option. #GeorgeFloyd #CivilRights #BlackOutTuesday https://***wZ', '8/ I was a hundred feet away from this non-crime and still ended up a victim of chemical warfare. #BlackLivesMatter #JusticeForGeorgeFloyd #oaklandprotest', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['I love my students! Anti-Racism Resources front page of https://***ZP #blacklivesmatter #blackouttuesday @ Hillsboro Comp High School https://***AL', 'We stand with you. Black lives matter. In solidarity, The Graduate and Professional Student Senate https://***nP', ""Financially unaffected by the pandemic but still got a stimulus check? Let it match your donations to charities that need it more than you. I'm splitting mine between @A***U, @N***P, @s***r, and @J***5. #BlackLivesMatter"", '-']",-,2,post,"Chauvin  s charge was upgraded to add a second-degree murder charge. By this time, videos of police clashes with unarmed protesters were being heavily covered by news media. Two Buffalo, New York, police officers were charged with assault after a recording surfaced showing one officer pushing a seventy-five-year-old man to the ground and leaving him there as he bled from his head. time：2020-06-03"
t1271989770437214208,147776571,2020-06-14 02:16:08+00:00,BlackLivesMatter,My heart breaks for my people and my city. #Atlanta #RayshardBrooks  #BlackLivesMatter ,post,-,My heart breaks for my people and my city. #Atlanta #RayshardBrooks #BlackLivesMatter https://***pL,C***s,"['post', 'retweet', 'reply', 'quote']","['tweet_A：“We move, together, in silence” #BlackLivesMatter #BLM #blmseattle #seattle https://***On', 'tweet_B：This is nothing new! We are just exposing it on an international stage now. #DefundThePolice #PoliceBrutality #BlackLivesMatter https://***EU', 'tweet_C：RT @N***h: NIHR stands by Black Lives Matter - read our statement: https://***Dm https://***I6']","['“We move, together, in silence” #BlackLivesMatter #BLM #blmseattle #seattle https://***On', 'This is nothing new! We are just exposing it on an international stage now. #DefundThePolice #PoliceBrutality #BlackLivesMatter https://***EU', 'RT @N***h: NIHR stands by Black Lives Matter - read our statement: https://***Dm https://***I6', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['#Eastbourne #BlackLivesMatterUK Eastbourne is the worst place in terms of #racism Even an adult calls me ""chon"" and they are telling their children ""She is Chon""', '@T***E When we imprison a large &amp; disproportionate number of a specific group of people and take away their right to vote in so doing, how do THEY elect a voice to represent them? Exactly. #BlackLivesMatter', 'My heart breaks for my people and my city. #Atlanta #RayshardBrooks #BlackLivesMatter https://***pL', '-']",-,2,post,Rayshard Brooks was shot and killed by Atlanta police in a Wendy  s parking lot. time：2020-06-12
t1267149325861175297,1162863886250332160,2020-05-31 17:41:56+00:00,BlackLivesMatter,"This podcast is generally not political. But what is happening now is not about shades of opinion. It is about respect for life, and basic human rights.  Black Lives Matter.  Now and forever.",post,-,"This podcast is generally not political. But what is happening now is not about shades of opinion. It is about respect for life, and basic human rights. Black Lives Matter. Now and forever.",T***t,"['post', 'retweet', 'reply', 'quote']","['tweet_A：RT @g***e: I just felt like more (black) people needed to hear this 😞 #GeorgeFloydProtests #BlackLivesMatter https://***cP', 'tweet_B：Black lives matter protest taking place in UK 🇬🇧', 'tweet_C：This week is hard, with so much racism and hurt searing us all. I remembered reading this from @P***l book, which wouldn’t seem out of place today. Also Tomorrow is #MadarakaDay in Kenya that celebrates their eventual freedom. So much history ignored. #BlackLivesMatter https://***hl']","['RT @g***e: I just felt like more (black) people needed to hear this 😞 #GeorgeFloydProtests #BlackLivesMatter https://***cP', 'Black lives matter protest taking place in UK 🇬🇧', 'This week is hard, with so much racism and hurt searing us all. I remembered reading this from @P***l book, which wouldn’t seem out of place today. Also Tomorrow is #MadarakaDay in Kenya that celebrates their eventual freedom. So much history ignored. #BlackLivesMatter https://***hl', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['This podcast is generally not political. But what is happening now is not about shades of opinion. It is about respect for life, and basic human rights. Black Lives Matter. Now and forever.', 'Compiled some #protest tips for the (#Chicago) homies going to demonstrate this weekend. And check out https://***57 @N***o @B***t #BlackLivesMatter #JusticeForGeorge https://***MD', 'BRILLIANT #BlackLivesMatter #GeorgeFloydMurder https://***RC', '-']",-,0,post,"On May 29, four days after Floyd  s death, Chauvin was arrested and charged with third-degree murder and second-degree manslaughter. time：2020-05-29"
t1488454831295582208,998067053096562688,2022-02-01 10:11:00+00:00,BlackLivesMatter,"This guy is an absolute lunatic.   “I’ve chosen to not go anywhere near protests that spew hateful rhetoric.”   In the same clip he admits he supports Black Lives Matter, but refuses to go to a trucker protest about forced-medical injections.   Trudeau is a dictator. ",post,-,"This guy is an absolute lunatic. “I’ve chosen to not go anywhere near protests that spew hateful rhetoric.” In the same clip he admits he supports Black Lives Matter, but refuses to go to a trucker protest about forced-medical injections. Trudeau is a dictator. https://***Xa",r***h,"['post', 'retweet', 'reply', 'quote']","['tweet_A：Books that Explain the #BlackLivesMatter Movement: Learn how deep-seated systemic racism sparked a movement for justice. https://***9t', ""tweet_B：Happy Black History Month! Black Lives Matter, and art has a role to play in centering the experiences of Black people. We're celebrating the month with collections devoted to reggae films, Melvin Van Peebles, Harry Belafonte, and Stanley Nelson! https://***pQ https://***0V"", 'tweet_C：Data scientist DESTROYS the BLM narrative | Larry Elder https://***kf #BlackLivesMatter']","['Books that Explain the #BlackLivesMatter Movement: Learn how deep-seated systemic racism sparked a movement for justice. https://***9t', ""Happy Black History Month! Black Lives Matter, and art has a role to play in centering the experiences of Black people. We're celebrating the month with collections devoted to reggae films, Melvin Van Peebles, Harry Belafonte, and Stanley Nelson! https://***pQ https://***0V"", 'Data scientist DESTROYS the BLM narrative | Larry Elder https://***kf #BlackLivesMatter', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['This guy is an absolute lunatic. “I’ve chosen to not go anywhere near protests that spew hateful rhetoric.” In the same clip he admits he supports Black Lives Matter, but refuses to go to a trucker protest about forced-medical injections. Trudeau is a dictator. https://***Xa', 'The linked investigations found ""toxic masculinity, misogyny and sexual harassment"", ""\'banter\' used to excuse oppressive and offensive behaviours"", and ""bullying and aggressive behaviour.""', 'Officers mocked Black Lives Matter, people with disabilities and non-Christian religions.', '-']",-,0,post,Kimberly Potter was convicted of manslaughter in the death of Daunte Wright. time：2021-12-23
