id,author_id,created_at,event_type,text,action,objec_tw,post_content,username,action_option,tweet_page,tweet_option,tweet_option_2,content_option,action_object_answer,action_content_answer,action_type_answer,trigger_news
t1345366354602446850,1067770256846925824,2021-01-02 13:48:29+00:00,Covid,"Using mass spec analysis, we found that coagulation factor XII (FXII) is enriched in postmortem lung tissue from COVID-19 patients.",reply,Our preprint on defective NETs degradation and coagulation factor XII activation in #COVID19 associated pulmonary thrombo-inflammation is now available. #UKE_HH @C***8 @d***n @V***s @t***e #thrombosis #NETosis #FXII #WomenInSTEM @v***y https://***ta https://***nj,"Using mass spec analysis, we found that coagulation factor XII (FXII) is enriched in postmortem lung tissue from COVID-19 patients.",V***b,"['post', 'retweet', 'reply', 'quote']","['tweet_A：RT @R***a: Gobierno de Venezuela anuncia que volverá a radicalizar cuarentena por COVID-19 https://***Kn', 'tweet_B：Our preprint on defective NETs degradation and coagulation factor XII activation in #COVID19 associated pulmonary thrombo-inflammation is now available. #UKE_HH @C***8 @d***n @V***s @t***e #thrombosis #NETosis #FXII #WomenInSTEM @v***y https://***ta https://***nj', 'tweet_C：2020 was a difficult year for us all, but recent events provide a reason for optimism. A year ago we heard about a new virus &amp; now we have 2 vaccines in use. When you are eligible, I encourage you to roll your #SleeveUp for a #COVID19 vaccine. Have a safe, healthy new year!']","['RT @R***a: Gobierno de Venezuela anuncia que volverá a radicalizar cuarentena por COVID-19 https://***Kn', 'Our preprint on defective NETs degradation and coagulation factor XII activation in #COVID19 associated pulmonary thrombo-inflammation is now available. #UKE_HH @C***8 @d***n @V***s @t***e #thrombosis #NETosis #FXII #WomenInSTEM @v***y https://***ta https://***nj', '2020 was a difficult year for us all, but recent events provide a reason for optimism. A year ago we heard about a new virus &amp; now we have 2 vaccines in use. When you are eligible, I encourage you to roll your #SleeveUp for a #COVID19 vaccine. Have a safe, healthy new year!', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Using mass spec analysis, we found that coagulation factor XII (FXII) is enriched in postmortem lung tissue from COVID-19 patients.', 'Last year was a challenging year, characterized by tales of misfortunes, deaths and illnesses. It was a tough moment for many homes and families owing to the unfortunate #COVID19 .', ""Challenges and opportunities for antiviral monoclonal antibodies as COVID-19 therapy. | Samuel K. Lai, University of North Carolina at Chapel Hill | #ADDRjournal #drugdelivery @D***C [50 days' free access] https://***3I https://***Hh"", '-']",tweet_B,0,reply,New COVID-19 variant identified in UK raised concerns about increased transmissibility. time：2020-12-21
t1499751150542901250,76961493,2022-03-04 14:18:32+00:00,Covid,"RT @a***7: As highlighted by @D***e, Saskatchewan's death rate from #COVID19 is more than DOUBLE that of the 2nd highest province, Manit…",retweet,"As highlighted by @D***e, Saskatchewan's death rate from #COVID19 is more than DOUBLE that of the 2nd highest province, Manitoba. No province is even remotely close in terms of deaths per capita at this point with Omicron. So embarrassingly bad. /2 https://***Qa",-,P***e,"['post', 'retweet', 'reply', 'quote']","['tweet_A：Gilt der #Genesenenstatus nun für alle wieder 6 Monate oder nur für die, die geklagt haben und der Rest bleibt bei 3 Monaten? #CoronaSN #coronavirus /cc @M***D', 'tweet_B：In a new study published in The Lancet, women reported higher rates of employment loss, school dropouts and perception of an increase in gender-based violence compared to men till September 2021 as an indirect result of the Covid-19 pandemic. https://***Lu', ""tweet_C：As highlighted by @D***e, Saskatchewan's death rate from #COVID19 is more than DOUBLE that of the 2nd highest province, Manitoba. No province is even remotely close in terms of deaths per capita at this point with Omicron. So embarrassingly bad. /2 https://***Qa""]","['Gilt der #Genesenenstatus nun für alle wieder 6 Monate oder nur für die, die geklagt haben und der Rest bleibt bei 3 Monaten? #CoronaSN #coronavirus /cc @M***D', 'In a new study published in The Lancet, women reported higher rates of employment loss, school dropouts and perception of an increase in gender-based violence compared to men till September 2021 as an indirect result of the Covid-19 pandemic. https://***Lu', ""As highlighted by @D***e, Saskatchewan's death rate from #COVID19 is more than DOUBLE that of the 2nd highest province, Manitoba. No province is even remotely close in terms of deaths per capita at this point with Omicron. So embarrassingly bad. /2 https://***Qa"", '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['இனம்புரியா பயம், மன அழுத்தத்தால் இளைஞர்கள், பெண்கள் மோசமாக பாதிப்பு: உலக சுகாதார அமைப்பு எச்சரிக்கை..! https://***pC #COVID19 #coronavirus #WHO @T***s', 'Coronavirus – Kenya: Shot in the arm as Kenya receives 500,000 doses of AstraZeneca vaccine @M***a #Africa #Kenya #Rwanda #COVID19 #Vaccine #Health Read more: https://***5N', '#COVID19Korea stats today (new cases in all 17 regions) 266853 NC (266771↗️ local) Total 3958326: Isolated ?↗️, Discharged ?, Deceased +186😈 (8580) Origin: #quarantine +35 (9895) #Sudogwon +152678, 152672↗️ local (#Seoul 59269 #Incheon 16681 #Gyeonggido 76722) https://***x2', '-']",tweet_C,-,retweet,President Biden announced most Americans could return to normal activities in State of the Union address. time：2022-03-02
t1465051251721359370,19035981,2021-11-28 20:13:32+00:00,Covid,"RT @F***n: Die Omikron-Variante von Covid-19 ist in Hessen angekommen, Reisende aus Südafrika und Namibia werden bei Ankunft getest…",retweet,"Die Omikron-Variante von Covid-19 ist in Hessen angekommen, Reisende aus Südafrika und Namibia werden bei Ankunft getestet. Die Weihnachtseinkäufe in Frankfurt haben begonnen. Die F.A.Z.-Hauptwache blickt auf die Themen des Tages. https://***yK",-,c***p,"['post', 'retweet', 'reply', 'quote']","['tweet_A：Die Omikron-Variante von Covid-19 ist in Hessen angekommen, Reisende aus Südafrika und Namibia werden bei Ankunft getestet. Die Weihnachtseinkäufe in Frankfurt haben begonnen. Die F.A.Z.-Hauptwache blickt auf die Themen des Tages. https://***yK', 'tweet_B：👉🏼👉🏼 https://***lW South Africa: New Covid-19 Variant Detected, Institute Confirms #COVID19 #coronavirus https://***DM', 'tweet_C：¿Cómo impactó el #COVID19 en la calidad de vida de los hogares en #AméricaLatina y #ElCaribe? ☎️Conoce los resultados de la Encuesta Telefónica de @P***C y el @B***l en 24 países. 💻Sumate a este evento Registro: https://***Vw @B***g @L***a https://***mL']","['Die Omikron-Variante von Covid-19 ist in Hessen angekommen, Reisende aus Südafrika und Namibia werden bei Ankunft getestet. Die Weihnachtseinkäufe in Frankfurt haben begonnen. Die F.A.Z.-Hauptwache blickt auf die Themen des Tages. https://***yK', '👉🏼👉🏼 https://***lW South Africa: New Covid-19 Variant Detected, Institute Confirms #COVID19 #coronavirus https://***DM', '¿Cómo impactó el #COVID19 en la calidad de vida de los hogares en #AméricaLatina y #ElCaribe? ☎️Conoce los resultados de la Encuesta Telefónica de @P***C y el @B***l en 24 países. 💻Sumate a este evento Registro: https://***Vw @B***g @L***a https://***mL', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['A review into two deaths in home isolation has found both deaths were “potentially preventable” . Northern region health authorities have apologised saying health and welfare assessments were too slow. @N***Z #COVID19 #homeisolation #nzpol', '#ATENCIÓN | Hospital del IESS Quito vuelve a incrementar camas para pacientes #COVID19, debido a un repunte de casos. ¿Cuál es la situación en otros hospitales? ▶️ https://***Qa https://***Tp', 'Neues aus der #COVID19Forschung: Forschende des Paul-Ehrlich-Instituts haben die gebildeten Antikörper nach Impfung mit Comirnaty, nach Impfung mit CVnCoV und nach COVID-19-Infektion verglichen. 👉Ergebnisse unter https://***RX https://***ze', '-']",tweet_A,-,retweet,WHO designated Omicron as a variant of concern. time：2021-11-26
t1493108366503137280,59979374,2022-02-14 06:22:29+00:00,Covid,Seorang Pasien Covid-19 Varian Omicron di Salatiga Meninggal Dunia Via: https://***N2 #NOTD,post,-,Seorang Pasien Covid-19 Varian Omicron di Salatiga Meninggal Dunia Via: https://***N2 #NOTD,m***m,"['post', 'retweet', 'reply', 'quote']","['tweet_A：J&amp;J halts COVID-19 vax production: Report https://***Gf #digitalhealth #healthtech #innovation #healthcaredelivery #healthscience #technology #Covid19 #Vaccines #pharmaceutical #manufacturing #healthcare #healthregulatory #policies #funding #investments @J***h', 'tweet_B：Planning on travelling abroad? It’s important you check the entry requirements and local COVID-19 laws and rules for your destination. Be prepared.', 'tweet_C：So we need a long #sympathetic discussion about how the #pandemic #policies and #lying by #Government are now those of #protesters ( essentially #denial) and how the ‘let it rip’ approach is causing injustice, death and #economic &amp; #social hardship for many like them. #auspol https://***cA']","['J&amp;J halts COVID-19 vax production: Report https://***Gf #digitalhealth #healthtech #innovation #healthcaredelivery #healthscience #technology #Covid19 #Vaccines #pharmaceutical #manufacturing #healthcare #healthregulatory #policies #funding #investments @J***h', 'Planning on travelling abroad? It’s important you check the entry requirements and local COVID-19 laws and rules for your destination. Be prepared.', 'So we need a long #sympathetic discussion about how the #pandemic #policies and #lying by #Government are now those of #protesters ( essentially #denial) and how the ‘let it rip’ approach is causing injustice, death and #economic &amp; #social hardship for many like them. #auspol https://***cA', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Seorang Pasien Covid-19 Varian Omicron di Salatiga Meninggal Dunia Via: https://***N2 #NOTD', '#UPDATE: Pakistan #COVID19 cases Sunday – • Confirmed 1,483,798 • Active 73,398 • Deaths 29,772 • Recovered 1,375,628 – Official Source: @n***l – #CoronavirusPakistan: https://***LE https://***cE', '#leadership #learning #AI #transformation #vision #learn #GKPath #PDT #DT #COVID19 Have a beautiful day of #MeaningfulGrowth, #GeniouxMG.❤️🇺🇸🌎\U0001fad0🚀 🚀Golden #knowledge (#GK) to wisely resolve the current lose-lose situation between #Russia and #Ukraine https://***1k https://***E1', '-']",-,0,post,Supreme Court blocked Biden  s vaccine mandate for large employers. time：2022-01-13
t1500323890412732420,284920800,2022-03-06 04:14:24+00:00,Covid,India ranks after the US in terms of #Covid19 cases. Details: https://***bQ https://***fb,reply,"#India reports 5,476 fresh #COVID19 cases, 9,754 recoveries, and 158 deaths in the last 24 hours. Details: https://***bQ https://***3f",India ranks after the US in terms of #Covid19 cases. Details: https://***bQ https://***fb,n***m,"['post', 'retweet', 'reply', 'quote']","['tweet_A：At 1,408, Kerala records sharp decline in daily Covid cases https://***dh #coronavirus', 'tweet_B：#India reports 5,476 fresh #COVID19 cases, 9,754 recoveries, and 158 deaths in the last 24 hours. Details: https://***bQ https://***3f', 'tweet_C：Two People Die From COVID-19 https://***vP']","['At 1,408, Kerala records sharp decline in daily Covid cases https://***dh #coronavirus', '#India reports 5,476 fresh #COVID19 cases, 9,754 recoveries, and 158 deaths in the last 24 hours. Details: https://***bQ https://***3f', 'Two People Die From COVID-19 https://***vP', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Consumer sentiment broadly declined across the United States in February despite a rapid fall in new COVID-19 cases, as Americans’ economic concerns shifted from the pandemic to rising inflation. https://***lC #EconTwitter https://***qM', 'India ranks after the US in terms of #Covid19 cases. Details: https://***bQ https://***fb', ""#Birdflu outbreaks. If we don't work to migrate AnimalAg to plant-based products, the next #zoonotic #pandemic may be near. In past 6 months, over 40 countries reported new avian influenza case with World Organization for Animal Health (#OIE) incl. #US. https://***GH"", '-']",tweet_B,1,reply,President Biden announced most Americans could return to normal activities in State of the Union address. time：2022-03-02
t1488902529765236738,197466753,2022-02-02 15:50:00+00:00,Covid,States are addressing school #MaskMandates amidst increasing youth vaccination rates and fluctuations in pediatric #Covid19 cases. Explore states’ up-to-date approaches to school COVID-19 vaccine and mask requirements: https://***kV,post,-,States are addressing school #MaskMandates amidst increasing youth vaccination rates and fluctuations in pediatric #Covid19 cases. Explore states’ up-to-date approaches to school COVID-19 vaccine and mask requirements: https://***kV,N***h,"['post', 'retweet', 'reply', 'quote']","['tweet_A：New Orleans begins Covid-19 vaccine mandate for all students, making it the first major U.S. city to require coronavirus shots in schools. https://***gG via @W***J', ""tweet_B：'Decoy' Protein Offers New Treatment Approach For Covid-19. https://***R4"", ""tweet_C：Like those used to turn the tide against #COVID19, could #mRNA vaccines help treat #PancreaticCancer? MSK's clinical researchers, led by @T***b, are trying to find out. @B***p #CancerMoonshot https://***jV""]","['New Orleans begins Covid-19 vaccine mandate for all students, making it the first major U.S. city to require coronavirus shots in schools. https://***gG via @W***J', ""'Decoy' Protein Offers New Treatment Approach For Covid-19. https://***R4"", ""Like those used to turn the tide against #COVID19, could #mRNA vaccines help treat #PancreaticCancer? MSK's clinical researchers, led by @T***b, are trying to find out. @B***p #CancerMoonshot https://***jV"", '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Encouraging news for parents in Oregon and around the country: Covid-19 vaccines may be available for children younger than five before the end of the month. https://***pn', 'States are addressing school #MaskMandates amidst increasing youth vaccination rates and fluctuations in pediatric #Covid19 cases. Explore states’ up-to-date approaches to school COVID-19 vaccine and mask requirements: https://***kV', 'We all have our own individual reasons for wanting to stop #COVID19: 🤗 hugging loved ones 💃 going out dancing ✈️ traveling ✅ being safe at work 🧘♀️ less stress Share this post and tell us what motivates you to act against Omicron?', '-']",-,1,post,Supreme Court blocked Biden  s vaccine mandate for large employers. time：2022-01-13
t1494984371614326784,621335481,2022-02-19 10:37:04+00:00,Covid,"#Health #Coronavirus #COVID19 #CovidVaccines —&gt; As states drop COVID-19 restrictions, some experts warn it's premature to declare victory - ABC News https://***EK",post,-,"#Health #Coronavirus #COVID19 #CovidVaccines —&gt; As states drop COVID-19 restrictions, some experts warn it's premature to declare victory - ABC News https://***EK",L***1,"['post', 'retweet', 'reply', 'quote']","['tweet_A：Covid-19 Report For 18th Feb New Positive Cases: 534 Of which 0-18 years: 147 In quarantine: 310 Local contacts: 224 (Details of local contacts will be shared by concerned District) 1. Angul: 11 2. Balasore: 15 3. Bargarh: 8 4. Bhadrak: 6 5. Balangir: 5 6. Boudh: 8', ""tweet_B：It's #RandomActsOfKindnessDay! Here are some ways to celebrate and show support to healthcare workers: 💙 Be patient &amp; understanding 💙 Practice COVID-19 safety 💙 Stay home if you're sick 💙 Share a quick thank you https://***sy"", 'tweet_C：Para ver el comportamiento del COVID-19 en el departamento de #Antioquia ingresa al siguiente enlace https://***nK Nuevos casos: 317 👉Medellín (224) 👉Envigado (19) 👉Bello (16) 👉Itagüí (15) 👉Rionegro (5) 👉El Peñol (4) 👉Sabaneta (4) https://***9Z']","['Covid-19 Report For 18th Feb New Positive Cases: 534 Of which 0-18 years: 147 In quarantine: 310 Local contacts: 224 (Details of local contacts will be shared by concerned District) 1. Angul: 11 2. Balasore: 15 3. Bargarh: 8 4. Bhadrak: 6 5. Balangir: 5 6. Boudh: 8', ""It's #RandomActsOfKindnessDay! Here are some ways to celebrate and show support to healthcare workers: 💙 Be patient &amp; understanding 💙 Practice COVID-19 safety 💙 Stay home if you're sick 💙 Share a quick thank you https://***sy"", 'Para ver el comportamiento del COVID-19 en el departamento de #Antioquia ingresa al siguiente enlace https://***nK Nuevos casos: 317 👉Medellín (224) 👉Envigado (19) 👉Bello (16) 👉Itagüí (15) 👉Rionegro (5) 👉El Peñol (4) 👉Sabaneta (4) https://***9Z', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['#AVCNoticias| 💬💬💬 La tesorera municipal en #PozaRica se encuentra bajo investigación interna por las irregularidades que algunos regidores detectaron en relación a la adquisición de pruebas para la detección de #COVID19. #EstáEnAVC 👉https://***p9 https://***gX', '2/5 The effort could yield Africa’s first #COVID19 vaccine. Although vaccine experts had identified several companies on the continent with potential to make the vaccines, #African factories have largely been limited to filling and labelling bottles. https://***H7 https://***99', ""#Health #Coronavirus #COVID19 #CovidVaccines —&gt; As states drop COVID-19 restrictions, some experts warn it's premature to declare victory - ABC News https://***EK"", '-']",-,2,post,Supreme Court blocked Biden  s vaccine mandate for large employers. time：2022-01-13
t1446246103368626204,1258129712,2021-10-07 22:48:35+00:00,Covid,UK has fully vaccinated ~80% of its &gt; 16 pop (67% of total) and their current situation is: •&gt; 1000 deaths per week •800 people on ventilators •5-10% kids off school for #COVID19 related reasons Critical that while we ⬆️ vax we also push #vaccinesPLUS &amp; #SafeIndoorAir,post,-,UK has fully vaccinated ~80% of its &gt; 16 pop (67% of total) and their current situation is: •&gt; 1000 deaths per week •800 people on ventilators •5-10% kids off school for #COVID19 related reasons Critical that while we ⬆️ vax we also push #vaccinesPLUS &amp; #SafeIndoorAir,d***y,"['post', 'retweet', 'reply', 'quote']","['tweet_A：The Rise of the #ValueBasedCare Economy “The combination of COVID-19 and an economic recession has only accelerated the transition to #valuebasedcare as employers and consumers look for ways to manage spending, driving the demand for value” #caremanagement #memberexperience https://***n4', 'tweet_B：RT @K***i: Science and #policy had to quickly come together during the #pandemic - an imperfect process touching our everyday life. We...', 'tweet_C：""School closures are strongly associated with large reductions in #COVID19 cases in communities. But closures are also likely to impose harms on children and families that are yet to be fully appreciated""']","['The Rise of the #ValueBasedCare Economy “The combination of COVID-19 and an economic recession has only accelerated the transition to #valuebasedcare as employers and consumers look for ways to manage spending, driving the demand for value” #caremanagement #memberexperience https://***n4', 'RT @K***i: Science and #policy had to quickly come together during the #pandemic - an imperfect process touching our everyday life. We...', '""School closures are strongly associated with large reductions in #COVID19 cases in communities. But closures are also likely to impose harms on children and families that are yet to be fully appreciated""', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['News: More than 140,000 U.S. children lost a primary or secondary caregiver due to the COVID-19 pandemic https://***eL', ""Supply chain professionals have played a central role in our hospitals' response to #COVID19, ensuring that everyone in their walls has the equipment they need to be protected. https://***0v"", 'UK has fully vaccinated ~80% of its &gt; 16 pop (67% of total) and their current situation is: •&gt; 1000 deaths per week •800 people on ventilators •5-10% kids off school for #COVID19 related reasons Critical that while we ⬆️ vax we also push #vaccinesPLUS &amp; #SafeIndoorAir', '-']",-,2,post,"U.S. COVID-19 death toll surpassed 675,000, exceeding 1918 flu pandemic deaths. time：2021-09-22"
t1495765371466493953,1236229527438864384,2022-02-21 14:20:29+00:00,Covid,"RT @M***a: COVID-19: Today 6 people have tested positive for the disease, from a sample size of 2,889 tested in the last 24 hours. The…",retweet,"COVID-19: Today 6 people have tested positive for the disease, from a sample size of 2,889 tested in the last 24 hours. The positivity rate is now at 0.2%. Total confirmed positive cases are now 322,702 and cumulative tests so far conducted are 3,335,912.",-,P***i,"['post', 'retweet', 'reply', 'quote']","['tweet_A：ગુજરાતમાં 486 નવા કોરોનાના કેસ, 19 જિલ્લામાં 10થી ઓછા અને 6 જિલ્લામાં શૂન્ય કેસ #Gujarat #Coronavirus https://***TC', 'tweet_B：COVID-19: Today 6 people have tested positive for the disease, from a sample size of 2,889 tested in the last 24 hours. The positivity rate is now at 0.2%. Total confirmed positive cases are now 322,702 and cumulative tests so far conducted are 3,335,912.', 'tweet_C：RT @J***r: #CompassionFatigue is a #pandemic-fueled phenomenon for #entrepreneurs and other #leaders. At a dining table during an e...']","['ગુજરાતમાં 486 નવા કોરોનાના કેસ, 19 જિલ્લામાં 10થી ઓછા અને 6 જિલ્લામાં શૂન્ય કેસ #Gujarat #Coronavirus https://***TC', 'COVID-19: Today 6 people have tested positive for the disease, from a sample size of 2,889 tested in the last 24 hours. The positivity rate is now at 0.2%. Total confirmed positive cases are now 322,702 and cumulative tests so far conducted are 3,335,912.', 'RT @J***r: #CompassionFatigue is a #pandemic-fueled phenomenon for #entrepreneurs and other #leaders. At a dining table during an e...', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['The reframing of #Covid19 as dangerous only to the unvaccinated and clinically vulnerable is misguided and dishonest. For many, the disease will be mild, but the dangers of #LongCovid and serious illness remain. Covid is not flu. #CovidIsNotOver #PlagueIsland https://***M0', 'Singapore reports 15,836 new Covid-19 cases, 4 deaths https://***bw https://***Ba', 'Strategi Bali hadapi gempuran COVID-19 varian Omicron https://***f4', '-']",tweet_B,-,retweet,Supreme Court blocked Biden  s vaccine mandate for large employers. time：2022-01-13
t1494287055995777028,2278995820,2022-02-17 12:26:11+00:00,Covid,"331 voti favorevoli, 45 contrari. Sì definitivo della Camera alla conversione del decreto n. 221/2021, recante proroga dello stato di emergenza nazionale e ulteriori misure per il contenimento della diffusione dell'epidemia da #Covid19 #OpenCamera https://***UW",post,-,"331 voti favorevoli, 45 contrari. Sì definitivo della Camera alla conversione del decreto n. 221/2021, recante proroga dello stato di emergenza nazionale e ulteriori misure per il contenimento della diffusione dell'epidemia da #Covid19 #OpenCamera https://***UW",M***o,"['post', 'retweet', 'reply', 'quote']","['tweet_A：I love this thread because right at the end it mentions,""infection is not inevitable"". That\'s right Australia, infection/transmission can be reduced/stopped if you recognise #covid19 is AIRBOURNE &amp; follow some precautions. #auspol #Omicron #wearamask #washhands #goodventilation https://***Ml', ""tweet_B：If you're reading our garbage, you're not reading theirs. #Propaganda https://***DF Aidoo, Jack Thriller, Kevin Ross, Eric Roberson #MarchMadness #art #COVID19 https://***ZQ"", ""tweet_C：L'interview de #Veran sur @f***o devrait être conservée comme preuve à charge pour sa mise en accusation. Presque chaque phrase est un mensonge. #COVID19 #ConvoidelaLiberte #passvaccinal""]","['I love this thread because right at the end it mentions,""infection is not inevitable"". That\'s right Australia, infection/transmission can be reduced/stopped if you recognise #covid19 is AIRBOURNE &amp; follow some precautions. #auspol #Omicron #wearamask #washhands #goodventilation https://***Ml', ""If you're reading our garbage, you're not reading theirs. #Propaganda https://***DF Aidoo, Jack Thriller, Kevin Ross, Eric Roberson #MarchMadness #art #COVID19 https://***ZQ"", ""L'interview de #Veran sur @f***o devrait être conservée comme preuve à charge pour sa mise en accusation. Presque chaque phrase est un mensonge. #COVID19 #ConvoidelaLiberte #passvaccinal"", '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['The ongoing disruptions of COVID-19 have created new risks and priorities for the industry in 2022. How will companies address these challenges while capitalizing on new opportunities? Find out here: https://***tx #Tech #TechIndustry', ""331 voti favorevoli, 45 contrari. Sì definitivo della Camera alla conversione del decreto n. 221/2021, recante proroga dello stato di emergenza nazionale e ulteriori misure per il contenimento della diffusione dell'epidemia da #Covid19 #OpenCamera https://***UW"", ""The #pandemic hasn't dampened the demand for #PrivateMarkets. This paper captures what we believe to be the top considerations for both limited partners (LPs) and general partners (GPs). https://***OS #investing https://***Mu"", '-']",-,1,post,Supreme Court blocked Biden  s vaccine mandate for large employers. time：2022-01-13
