id,author_id,created_at,event_type,text,action,objec_tw,post_content,username,action_option,tweet_page,tweet_option,tweet_option_2,content_option,action_object_answer,action_content_answer,action_type_answer,trigger_news
t1306235685620330497,17220934,2020-09-16 14:17:10+00:00,Wildfire,"As wildfires rage in the west, I know that we can save our planet. The solutions are within reach. That’s why I’m taking part in @TEDCountdown - a free, live, global event to fight the climate crisis. Taking place on 10.10.20. Learn more:  #JoinTheCountdown",post,-,"As wildfires rage in the west, I know that we can save our planet. The solutions are within reach. That’s why I’m taking part in @T***n - a free, live, global event to fight the climate crisis. Taking place on 10.10.20. Learn more: https://***lz #JoinTheCountdown",a***e,"['post', 'retweet', 'reply', 'quote']","['tweet_A：@B***r How is it that those on the political left, in general, embrace job destroying man made climate change and those on the political right, in general, are not that stupid?', 'tweet_B：🎥: @t***r @ Oceanside, California https://***SE', 'tweet_C：#bobcatfire burning up the western slope of Big Santa Anita Canyon towards Chantry Flat and Mt. Wilson this afternoon https://***q8']","['@B***r How is it that those on the political left, in general, embrace job destroying man made climate change and those on the political right, in general, are not that stupid?', '🎥: @t***r @ Oceanside, California https://***SE', '#bobcatfire burning up the western slope of Big Santa Anita Canyon towards Chantry Flat and Mt. Wilson this afternoon https://***q8', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['@_***g That is tricky question. It all depends on the location. Each land management agency has different but similar rules and regulations. If a person is seen shooting and it starts a wildfire, call 911.', 'I got the front row 😅 OUT THE BOX @f***g @ Los Angeles, California https://***BP', 'As wildfires rage in the west, I know that we can save our planet. The solutions are within reach. That’s why I’m taking part in @T***n - a free, live, global event to fight the climate crisis. Taking place on 10.10.20. Learn more: https://***lz #JoinTheCountdown', '-']",-,2,post,San Francisco  s sky turned orange due to wildfire smoke. time：2020-09-10
t1031745868200722433,608400108,2018-08-21 03:32:38+00:00,Wildfire,It's absurd for ministers to meet in a province where nearly 600 wildfires are burning and to leave climate change off the agenda. #cdnpoli #bcpoli ,post,-,It's absurd for ministers to meet in a province where nearly 600 wildfires are burning and to leave climate change off the agenda. #cdnpoli #bcpoli https://***rQ,S***w,"['post', 'retweet', 'reply', 'quote']","['tweet_A：RT @I***n: How #Blockchain is Cultivating Growth in the Cannabis #SupplyChain https://***Nb #California #Cannabis Market...', 'tweet_B：• sunshine I don’t mind 🌞 @ Malibu, California https://***Z7', 'tweet_C：Our thoughts and prayers are with BC, the Talhtan Nation and all those affected by the wild fires. As the smoke fills the air and rages through forests at rapid rates. Families have been... https://***Ae']","['RT @I***n: How #Blockchain is Cultivating Growth in the Cannabis #SupplyChain https://***Nb #California #Cannabis Market...', '• sunshine I don’t mind 🌞 @ Malibu, California https://***Z7', 'Our thoughts and prayers are with BC, the Talhtan Nation and all those affected by the wild fires. As the smoke fills the air and rages through forests at rapid rates. Families have been... https://***Ae', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['A must read for California recruiting leaders https://***ED', ""It's absurd for ministers to meet in a province where nearly 600 wildfires are burning and to leave climate change off the agenda. #cdnpoli #bcpoli https://***rQ"", 'Glacier Park 2018: What’s Open and What’s Closed https://***Fd Some of the latest trail, road and area closures in @G***S as of Aug. 20 #MTnews #MTfire #HoweRidgeFire', '-']",-,1,post,"Holy Fire forced evacuations of 21,000 people. time：2018-08-10"
t1326637795088195587,984867366877192192,2020-11-11 21:27:52+00:00,Wildfire,Excited to see this article on fire in CA focus on the collaborative governance approaches that will help us meet our fire and forest management goals. From @CityLab ,post,-,Excited to see this article on fire in CA focus on the collaborative governance approaches that will help us meet our fire and forest management goals. From @C***b https://***sB,P***z,"['post', 'retweet', 'reply', 'quote']","['tweet_A：RT @i***s: .@G***O “is basically telling people to stay at home without ordering a Stay-at-Home. It is the same as when a fire is...', 'tweet_B：The Open Enrollment Period for health insurance through Covered California is here! If you need coverage for 2021, now\'s the time to shop. Call/""Llámenos 213 989 7700 ¡La inscripción abierta está aquí! Si necesitas cobertura médica en el 2021, ahora es el momento de hacerlo. https://***wf', 'tweet_C：Organized by @I***a from @C***E and @d***o from @u***u #DIPC a webinar on Sars-CoV-2 will take place this week featuring prestigious scientists Rommie Amaro @U***a and Jesùs Jimènez-Barbero @C***E: 📆13/11, 3 pm 📺 https://***3b +INFO👇 https://***SB']","['RT @i***s: .@G***O “is basically telling people to stay at home without ordering a Stay-at-Home. It is the same as when a fire is...', 'The Open Enrollment Period for health insurance through Covered California is here! If you need coverage for 2021, now\'s the time to shop. Call/""Llámenos 213 989 7700 ¡La inscripción abierta está aquí! Si necesitas cobertura médica en el 2021, ahora es el momento de hacerlo. https://***wf', 'Organized by @I***a from @C***E and @d***o from @u***u #DIPC a webinar on Sars-CoV-2 will take place this week featuring prestigious scientists Rommie Amaro @U***a and Jesùs Jimènez-Barbero @C***E: 📆13/11, 3 pm 📺 https://***3b +INFO👇 https://***SB', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Mom &amp; Dad. 💙 @ Malibu, California https://***Kj', 'Excited to see this article on fire in CA focus on the collaborative governance approaches that will help us meet our fire and forest management goals. From @C***b https://***sB', 'Designing a tiny pocket booklet for #NextLevelUX here’s a shot at the paper prototype first pass. #racetothedraft #ux #prototype @ Alameda, California https://***SE', '-']",-,1,post,"Silverado Fire forced evacuations of 90,000 people in Orange County. time：2020-10-26"
t1303648577709903875,1157625954770018308,2020-09-09 10:56:56+00:00,Wildfire,"UVA ENGINEERS DESIGN A SENSOR NETWORK, ALLOWING RAPID RESPONSE TO WILDFIRES ",post,-,"UVA ENGINEERS DESIGN A SENSOR NETWORK, ALLOWING RAPID RESPONSE TO WILDFIRES https://***co",c***A,"['post', 'retweet', 'reply', 'quote']","['tweet_A：RT @N***o: #Escondido reached 115 degrees today. This breaks the all time record high of 113 set in 1909! #CAwx', 'tweet_B：Stay safe out there! #wildfires #California #CaliforniaHeatWave #CaliforniaFires https://***In', ""tweet_C：Despite the current rhetoric permeating thru media &amp; social media about BLM protests, let's remember that a gender reveal party caused more property damage than all of the BLM protests combined w/ the wildfires in California.""]","['RT @N***o: #Escondido reached 115 degrees today. This breaks the all time record high of 113 set in 1909! #CAwx', 'Stay safe out there! #wildfires #California #CaliforniaHeatWave #CaliforniaFires https://***In', ""Despite the current rhetoric permeating thru media &amp; social media about BLM protests, let's remember that a gender reveal party caused more property damage than all of the BLM protests combined w/ the wildfires in California."", '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","[""Europe's largest refugee camp has destroyed by fire overnight https://***SG"", 'UVA ENGINEERS DESIGN A SENSOR NETWORK, ALLOWING RAPID RESPONSE TO WILDFIRES https://***co', 'Wildfire nightmare unfolding tonight in Oregon. https://***VK', '-']",-,1,post,"Gender reveal party sparked the El Dorado Fire in San Bernardino County. The nearly 23,000 acre blaze destroyed 20 buildings and killed firefighter Charles Morton. time：2020-09-09"
t1313223889846112257,70796694,2020-10-05 21:05:48+00:00,Wildfire,"RT @forestservice: As a reminder, please keep wildfire prevention in mind when visiting your public lands. ",retweet,"As a reminder, please keep wildfire prevention in mind when visiting your public lands. https://***re",-,U***e,"['post', 'retweet', 'reply', 'quote']","['tweet_A：As a reminder, please keep wildfire prevention in mind when visiting your public lands. https://***re', 'tweet_B：RT @n***e: Volatile organic compounds and other contaminants pulled into plumbing during a wildfire pose long and short-term health ri...', 'tweet_C：RT @A***A: BIG Day! California counties are sending ballots to every active, registered voter! Ready to see where yours is and get...']","['As a reminder, please keep wildfire prevention in mind when visiting your public lands. https://***re', 'RT @n***e: Volatile organic compounds and other contaminants pulled into plumbing during a wildfire pose long and short-term health ri...', 'RT @A***A: BIG Day! California counties are sending ballots to every active, registered voter! Ready to see where yours is and get...', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['The ECFD and ECPD responded to a fire in the Hillside Nature Area on October 4, 2020. https://***2v', '🆙 @ Los Angeles, California https://***zC', 'Officially fire pit season🔥🔥🔥 https://***yV', '-']",tweet_A,-,retweet,"California surpassed 4 million acres burned in 2020, a state record. time：2020-10-01"
t1325793286863335424,2284162398,2020-11-09 13:32:06+00:00,Wildfire,"Congratulations to Alana Neville, this week's randomly selected #winner of a Light ‘n Go #Bonfire! Thank you to everyone that entered! The next #giveaway will start again on Friday! #campfire #outdoors #family #camping #firepit #fireplace #WINNER #BBQ ",post,-,"Congratulations to Alana Neville, this week's randomly selected #winner of a Light ‘n Go #Bonfire! Thank you to everyone that entered! The next #giveaway will start again on Friday! #campfire #outdoors #family #camping #firepit #fireplace #WINNER #BBQ https://***46",L***1,"['post', 'retweet', 'reply', 'quote']","['tweet_A：RT @1***i: Also, it’s pretty dang awesome to see a CALIFORNIAN woman of color as VP. About time. Go, Kamala!!! 🎉🎉🎉', 'tweet_B：The city of #Stepanakert is still the target of #Azerbaijan’i fire https://***KF', 'tweet_C：""As a refresher, the Ellis Act in California is a law passed in 1985 which gives landlords the right to evict tenants from rent-controlled buildings as long as they sell the property, convert it into condos, or let the building sit vacant for five years."" https://***ND']","['RT @1***i: Also, it’s pretty dang awesome to see a CALIFORNIAN woman of color as VP. About time. Go, Kamala!!! 🎉🎉🎉', 'The city of #Stepanakert is still the target of #Azerbaijan’i fire https://***KF', '""As a refresher, the Ellis Act in California is a law passed in 1985 which gives landlords the right to evict tenants from rent-controlled buildings as long as they sell the property, convert it into condos, or let the building sit vacant for five years."" https://***ND', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Acabou de publicar um vídeo em San Diego , California https://***t2', ""Congratulations to Alana Neville, this week's randomly selected #winner of a Light ‘n Go #Bonfire! Thank you to everyone that entered! The next #giveaway will start again on Friday! #campfire #outdoors #family #camping #firepit #fireplace #WINNER #BBQ https://***46"", '@m***s @P***n They’re still counting in California too but a State is ‘called’ when trends and statistics are established by a certain percentage of reported votes and there’s some degree of mathematical certainty. These 4 States are close and the trends swung so they have to count every vote', '-']",-,1,post,"Silverado Fire forced evacuations of 90,000 people in Orange County. time：2020-10-26"
t1306678369073819648,748935102,2020-09-17 19:36:14+00:00,Wildfire,RT @Forbes: Smoke from the West Coast wildfires has reached Europe  ,retweet,Smoke from the West Coast wildfires has reached Europe https://***cD https://***ol,-,M***r,"['post', 'retweet', 'reply', 'quote']","['tweet_A：Smoke from the West Coast wildfires has reached Europe https://***cD https://***ol', 'tweet_B：Traveling without being able to smoke is top tier mood killer 😂😭 I understand https://***xC', 'tweet_C：Fire Jim Comey!']","['Smoke from the West Coast wildfires has reached Europe https://***cD https://***ol', 'Traveling without being able to smoke is top tier mood killer 😂😭 I understand https://***xC', 'Fire Jim Comey!', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['A7. #IoT sensors can detect &amp; report on #Wildfire hazards or rising floodwaters, and #AI can automatically take protective measures to mitigate or stop the risk in its tracks. #MMCChat https://***2T', 'Just posted a photo @ Los Angeles, California https://***3J', ""@N***K @N***s @P***o What a provocative argument, Pat! If only it weren't undercut by the facts. Bottom line: we don’t want this content on our platform. It is not to our benefit. And while our enforcement is not perfect, we work aggressively to identify and remove it. (1/3)"", '-']",tweet_A,-,retweet,San Francisco  s sky turned orange due to wildfire smoke. time：2020-09-10
t1333218827815981057,596687292,2020-11-30 01:18:33+00:00,Wildfire,"Going to be up late tonight?  If so, you may want to check out the partial lunar eclipse, which will peak at 1:42 AM early Monday morning. Thin high clouds overnight may obscure views of the moon to some extent, but the partial eclipse should still be visible. #CAwx ",post,-,"Going to be up late tonight? If so, you may want to check out the partial lunar eclipse, which will peak at 1:42 AM early Monday morning. Thin high clouds overnight may obscure views of the moon to some extent, but the partial eclipse should still be visible. #CAwx https://***Wu",N***a,"['post', 'retweet', 'reply', 'quote']","['tweet_A：.@a***r “In an age of information chaos, a good newsroom is, to me, as essential as the police force, the hospital, the fire station or the prison.” https://***GW', 'tweet_B：@A***_ Oh and this fitness expert Guru mann who lives in California usne bhi post kra tha insta pe', 'tweet_C：RT @S***R: Interested in supporting DH work at a major university in sunny California? @c***d and @S***R are jointly...']","['.@a***r “In an age of information chaos, a good newsroom is, to me, as essential as the police force, the hospital, the fire station or the prison.” https://***GW', '@A***_ Oh and this fitness expert Guru mann who lives in California usne bhi post kra tha insta pe', 'RT @S***R: Interested in supporting DH work at a major university in sunny California? @c***d and @S***R are jointly...', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['Going to be up late tonight? If so, you may want to check out the partial lunar eclipse, which will peak at 1:42 AM early Monday morning. Thin high clouds overnight may obscure views of the moon to some extent, but the partial eclipse should still be visible. #CAwx https://***Wu', '@O***K @G***a The first pipe that delivers purified smoke to your lips without any contact Release date Dec 1st https://***Ud https://***Jr', 'Just posted a photo @ San Diego, California https://***Xp', '-']",-,0,post,"Silverado Fire forced evacuations of 90,000 people in Orange County. time：2020-10-26"
t1321281380026781696,172826712,2020-10-28 02:43:23+00:00,Wildfire,“The United States Geological Survey has previously listed Arctic hydrate destabilisation as one of four most serious scenarios for abrupt climate change.” ,post,-,“The United States Geological Survey has previously listed Arctic hydrate destabilisation as one of four most serious scenarios for abrupt climate change.” https://***Ip,d***b,"['post', 'retweet', 'reply', 'quote']","['tweet_A：Nearly 70,000 people under mandatory evacuation orders as two new wildfires in Southern California spread rapidly #californiawildfires #California #Colorado #weather #BREAKING #BREAKINGNEWS #climate #ClimateCrisis #Evacuations https://***7K', 'tweet_B：It’s beginning to look like #fallseason ! #mondaymotivation @ Redondo Beach, California https://***Mg', 'tweet_C：This is the exact time soldiers opened fire on #EndSARS peaceful protesters last week. Protesters who had flags &amp; were singing National anthem were killed by soldiers they usually advocate for their officers to treat them better. 6.50pm 20-10-20 WE WILL NOT FORGET! #LekkiMassacre']","['Nearly 70,000 people under mandatory evacuation orders as two new wildfires in Southern California spread rapidly #californiawildfires #California #Colorado #weather #BREAKING #BREAKINGNEWS #climate #ClimateCrisis #Evacuations https://***7K', 'It’s beginning to look like #fallseason ! #mondaymotivation @ Redondo Beach, California https://***Mg', 'This is the exact time soldiers opened fire on #EndSARS peaceful protesters last week. Protesters who had flags &amp; were singing National anthem were killed by soldiers they usually advocate for their officers to treat them better. 6.50pm 20-10-20 WE WILL NOT FORGET! #LekkiMassacre', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['“The United States Geological Survey has previously listed Arctic hydrate destabilisation as one of four most serious scenarios for abrupt climate change.” https://***Ip', 'In new article, Kit Rodolfa @m***u and colleagues in Adhoc California COVID-19 Working Group explain how they quickly built epidemic models that guided state policy to contain the virus and help allocate critical resources like ICU beds and ventilators. https://***dU https://***eb', ""Newsom's Thanksgiving rules offer Californians little to give thanks for https://***BX"", '-']",-,0,post,"Silverado Fire forced evacuations of 90,000 people in Orange County. time：2020-10-26"
t1061619089112788993,18874262,2018-11-11 13:58:09+00:00,Wildfire,"RT @elonmusk: Makes me so mad when smart, ethical scientists I know are accused of publishing climate papers for “grant money”. They earn 🥜…",retweet,"Makes me so mad when smart, ethical scientists I know are accused of publishing climate papers for “grant money”. They earn 🥜 vs their other opportunities, but give that up to help world. But their accusers make billions by slowing down clean energy. Which is more credible?",-,p***r,"['post', 'retweet', 'reply', 'quote']","['tweet_A：#like4likes #smoker #smokers #smokersonly #smokersclub #cigaroftheweek #montecristo #cigarbar #cigarsocialclub #cigar #cigarcase #cigaraficionada #cuban #cohiba #cigaroftheday #cigarsmoke #cigarsmoker #enjoycigars #cigarlover #cigarlovers #cigarian #cigarians #cigarporn https://***OR', 'tweet_B：Makes me so mad when smart, ethical scientists I know are accused of publishing climate papers for “grant money”. They earn 🥜 vs their other opportunities, but give that up to help world. But their accusers make billions by slowing down clean energy. Which is more credible?', 'tweet_C：https://***kE Fire TV Stick with 1st Gen Alexa Voice Remote, streaming media player https://***zP']","['#like4likes #smoker #smokers #smokersonly #smokersclub #cigaroftheweek #montecristo #cigarbar #cigarsocialclub #cigar #cigarcase #cigaraficionada #cuban #cohiba #cigaroftheday #cigarsmoke #cigarsmoker #enjoycigars #cigarlover #cigarlovers #cigarian #cigarians #cigarporn https://***OR', 'Makes me so mad when smart, ethical scientists I know are accused of publishing climate papers for “grant money”. They earn 🥜 vs their other opportunities, but give that up to help world. But their accusers make billions by slowing down clean energy. Which is more credible?', 'https://***kE Fire TV Stick with 1st Gen Alexa Voice Remote, streaming media player https://***zP', '-']","['tweet_A', 'tweet_B', 'tweet_C', '-']","['House gone. But I am grateful for the many great years Malibu has given me and my children. Now, trying to help neighbors save their homes. #woolseyfire #malibu #malibufires #fires @... https://***YF', 'View of camp fire taken from Chico California that just destroyed the nearby town of Paradise. Thoughts go out to our @A***s colleagues at Cal State Chico@C***e @p***k and stewart oakley. @C***s https://***3T', 'SOUTHERN CALIFORNIA! Anybody near #Malibu with a horse trailer, SYCAMORE FARM needs to evacuate 40 horses from 3661 Cross Creek Road before the fires get there! #WoolseyFire https://***Bo', '-']",tweet_B,-,retweet,"Camp Fire death toll rose to 29, becoming California  s deadliest wildfire. time：2018-11-11"
