id,author_id,created_at,event_type,username,action_content,content_option,action_object_answer,action_content_answer,action_type_answer
t3204,u2581,2022-02-20 14:30:59+00:00,BlackLivesMatter,d***g,Meet the High School Students Who Organized Thousands to Walk Out for Amir Locke @i***g https://***pI #AmirLocke #BlackLivesMatter,"['@M***s @S***r 🚀foguete do tipo nasa — uma fancam do #W13 🏎 ▪🏁 #FIA #F1 #FaustaoNaBand #JN #SirPATRON44 #TEAMLH #WeStandWithLewisHamilton #WSL #mercedesf1 #TotoWolff #MercedesW13 #MercedesAMGF1 #OpatrãoTáON #F1naBand #BlackLivesMatter #NFL #wslnosportv #WSLBrasil https://***os', 'Meet the High School Students Who Organized Thousands to Walk Out for Amir Locke @i***g https://***pI #AmirLocke #BlackLivesMatter', '@W***p @T***e @M***D Nobody cheated more than us! 🤣 Me: “Hey Warren, what are you doing here in the D-Line meeting, you’re on offense!?” Sapp: “I’ve come to take your job” Me: “Shiiit, you ain’t taking my job!” * cut to * me watching every game from the sidelines 😂😂😂 #HackAndGash4LIFE💪🏾', '-']",-,content_B,post
t0629,u0998,2020-06-22 21:45:05+00:00,BlackLivesMatter,S***i,"Farah said it, you can quote her ;) “It’s because of civic engagement that love is love, #metoo has become a movement, women’s marches are known, black lives matter, we continue to listen and support those who have something to say, and dreamers are here to stay.” #letsdothis https://***1K","['Farah said it, you can quote her ;) “It’s because of civic engagement that love is love, #metoo has become a movement, women’s marches are known, black lives matter, we continue to listen and support those who have something to say, and dreamers are here to stay.” #letsdothis https://***1K', 'If you’re in STEM and you support #BlackLivesMatter, please retweet and like this! I’m trying to see something 🚀👩🏾🚀🛰', ""Send an email to your mayor asking them to implement policies to reduce killings by police. Where I live, we have 3 of 8. Let's do better! https://***t4 #blacklivesmatter #peace #justice #lifelonglearning #getwoke #dothework #getuncomfortable #blackhistory #blm #love https://***05"", '-']",-,content_A,post
t1675,u0328,2021-03-13 17:32:12+00:00,BlackLivesMatter,D***a,This. Is. Racism. “Sen. Ron Johnson: Capitol rioters 'love this country' but I would've been concerned if they'd been Black Lives Matter” #BLM https://***Zo,"['The legislation passed by the Republican-led House comes after Black Lives Matter protests last summer against racist police violence. https://***Eq # via @H***l', ""This. Is. Racism. “Sen. Ron Johnson: Capitol rioters 'love this country' but I would've been concerned if they'd been Black Lives Matter” #BLM https://***Zo"", '#BlackLivesMatter: @A***a, @R***y, @K***g, @P***k, @J***l, @M***i and myself discuss Breonna Taylor and the #SayHerName Movement. Full Video: https://***d8 https://***Y4', '-']",-,content_B,post
t1626,u1965,2021-02-03 18:53:26+00:00,BlackLivesMatter,C***n,Proud Boys and Black Lives Matter activists clashed in a Florida suburb. Only one side was charged. https://***sC #LeastShockingHeadlines,"['Each @O***l hoodie has a meaningful message about what’s going on in the world around us, from the Black Lives Matter movement to COVID-19 relief. We talked to founder Stephen Smith about building a purposeful brand and driving positive change: https://***6L', 'Proud Boys and Black Lives Matter activists clashed in a Florida suburb. Only one side was charged. https://***Wu', 'Proud Boys and Black Lives Matter activists clashed in a Florida suburb. Only one side was charged. https://***sC #LeastShockingHeadlines', '-']",-,content_C,post
t3199,u2779,2022-02-20 13:05:49+00:00,BlackLivesMatter,r***k,-,"['Check out the February Issue of Power Conversations Magazine!! This Coaches Edition hit in a major way!! Subscribe Now at https://***vK #media #blackmedia #authors #coaches #wysptv #powerconvomag #blacklifecoaches #lifecoaches #blacklivesmatter #matte... https://***NI', '.. nation shall not lift up sword against nation, neither shall they learn war any more. Isaiah 2:4 #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow https://***yD', ""@B***n I'm going with the Confederate belt buckle, hat, jacket, and, finally, the Black Lives Matter poster. What do you think? #Confederate #Confederacy #Fashion #Trends #BlackLivesMatter #Anchorage #Alaska https://***Ds"", '-']",tweet_A,-,retweet
t2597,u2303,2022-02-10 17:21:31+00:00,BlackLivesMatter,T***s,-,"['Check out my Literary Website https://***7s Literary Clothing. #supportreading #hbcu #hbcupride #blackexcellence #hbcugrad #blackgirlmagic #famu #explorepage #blacklivesmatter #aka #hbculove #blackhistory #hbcualumni #explore #atlanta #melanin', 'Black Lives Matter Memphis co-founder Pamela Moses was sentenced to six years in prison last week for trying to register to vote, not knowing she was ineligible due to a felony conviction. Her lawyer is appealing the case. https://***qj', '#BlackLivesMatter', '-']",tweet_B,-,retweet
t0508,u2689,2020-06-03 23:55:56+00:00,BlackLivesMatter,M***k,"Financially unaffected by the pandemic but still got a stimulus check? Let it match your donations to charities that need it more than you. I'm splitting mine between @A***U, @N***P, @s***r, and @J***5. #BlackLivesMatter","['I love my students! Anti-Racism Resources front page of https://***ZP #blacklivesmatter #blackouttuesday @ Hillsboro Comp High School https://***AL', 'We stand with you. Black lives matter. In solidarity, The Graduate and Professional Student Senate https://***nP', ""Financially unaffected by the pandemic but still got a stimulus check? Let it match your donations to charities that need it more than you. I'm splitting mine between @A***U, @N***P, @s***r, and @J***5. #BlackLivesMatter"", '-']",-,content_C,post
t0605,u0802,2020-06-14 02:16:08+00:00,BlackLivesMatter,C***s,My heart breaks for my people and my city. #Atlanta #RayshardBrooks #BlackLivesMatter https://***pL,"['#Eastbourne #BlackLivesMatterUK Eastbourne is the worst place in terms of #racism Even an adult calls me ""chon"" and they are telling their children ""She is Chon""', '@T***E When we imprison a large &amp; disproportionate number of a specific group of people and take away their right to vote in so doing, how do THEY elect a voice to represent them? Exactly. #BlackLivesMatter', 'My heart breaks for my people and my city. #Atlanta #RayshardBrooks #BlackLivesMatter https://***pL', '-']",-,content_C,post
t0428,u0296,2020-05-31 17:41:56+00:00,BlackLivesMatter,T***t,"This podcast is generally not political. But what is happening now is not about shades of opinion. It is about respect for life, and basic human rights. Black Lives Matter. Now and forever.","['This podcast is generally not political. But what is happening now is not about shades of opinion. It is about respect for life, and basic human rights. Black Lives Matter. Now and forever.', 'Compiled some #protest tips for the (#Chicago) homies going to demonstrate this weekend. And check out https://***57 @N***o @B***t #BlackLivesMatter #JusticeForGeorge https://***MD', 'BRILLIANT #BlackLivesMatter #GeorgeFloydMurder https://***RC', '-']",-,content_A,post
t2309,u3277,2022-02-01 10:11:00+00:00,BlackLivesMatter,r***h,"This guy is an absolute lunatic. “I’ve chosen to not go anywhere near protests that spew hateful rhetoric.” In the same clip he admits he supports Black Lives Matter, but refuses to go to a trucker protest about forced-medical injections. Trudeau is a dictator. https://***Xa","['This guy is an absolute lunatic. “I’ve chosen to not go anywhere near protests that spew hateful rhetoric.” In the same clip he admits he supports Black Lives Matter, but refuses to go to a trucker protest about forced-medical injections. Trudeau is a dictator. https://***Xa', 'The linked investigations found ""toxic masculinity, misogyny and sexual harassment"", ""\'banter\' used to excuse oppressive and offensive behaviours"", and ""bullying and aggressive behaviour.""', 'Officers mocked Black Lives Matter, people with disabilities and non-Christian religions.', '-']",-,content_A,post
