id,author_id,created_at,event_type,username,action_content,content_option,action_object_answer,action_content_answer,action_type_answer
t1592,u0124,2021-01-02 13:48:29+00:00,Covid,V***b,"Using mass spec analysis, we found that coagulation factor XII (FXII) is enriched in postmortem lung tissue from COVID-19 patients.","['Using mass spec analysis, we found that coagulation factor XII (FXII) is enriched in postmortem lung tissue from COVID-19 patients.', 'Last year was a challenging year, characterized by tales of misfortunes, deaths and illnesses. It was a tough moment for many homes and families owing to the unfortunate #COVID19 .', ""Challenges and opportunities for antiviral monoclonal antibodies as COVID-19 therapy. | Samuel K. Lai, University of North Carolina at Chapel Hill | #ADDRjournal #drugdelivery @D***C [50 days' free access] https://***3I https://***Hh"", '-']",tweet_B,content_A,reply
t3834,u2856,2022-03-04 14:18:32+00:00,Covid,P***e,-,"['இனம்புரியா பயம், மன அழுத்தத்தால் இளைஞர்கள், பெண்கள் மோசமாக பாதிப்பு: உலக சுகாதார அமைப்பு எச்சரிக்கை..! https://***pC #COVID19 #coronavirus #WHO @T***s', 'Coronavirus – Kenya: Shot in the arm as Kenya receives 500,000 doses of AstraZeneca vaccine @M***a #Africa #Kenya #Rwanda #COVID19 #Vaccine #Health Read more: https://***5N', '#COVID19Korea stats today (new cases in all 17 regions) 266853 NC (266771↗️ local) Total 3958326: Isolated ?↗️, Discharged ?, Deceased +186😈 (8580) Origin: #quarantine +35 (9895) #Sudogwon +152678, 152672↗️ local (#Seoul 59269 #Incheon 16681 #Gyeonggido 76722) https://***x2', '-']",tweet_C,-,retweet
t1975,u1179,2021-11-28 20:13:32+00:00,Covid,c***p,-,"['A review into two deaths in home isolation has found both deaths were “potentially preventable” . Northern region health authorities have apologised saying health and welfare assessments were too slow. @N***Z #COVID19 #homeisolation #nzpol', '#ATENCIÓN | Hospital del IESS Quito vuelve a incrementar camas para pacientes #COVID19, debido a un repunte de casos. ¿Cuál es la situación en otros hospitales? ▶️ https://***Qa https://***Tp', 'Neues aus der #COVID19Forschung: Forschende des Paul-Ehrlich-Instituts haben die gebildeten Antikörper nach Impfung mit Comirnaty, nach Impfung mit CVnCoV und nach COVID-19-Infektion verglichen. 👉Ergebnisse unter https://***RX https://***ze', '-']",tweet_A,-,retweet
t2729,u2645,2022-02-14 06:22:29+00:00,Covid,m***m,Seorang Pasien Covid-19 Varian Omicron di Salatiga Meninggal Dunia Via: https://***N2 #NOTD,"['Seorang Pasien Covid-19 Varian Omicron di Salatiga Meninggal Dunia Via: https://***N2 #NOTD', '#UPDATE: Pakistan #COVID19 cases Sunday – • Confirmed 1,483,798 • Active 73,398 • Deaths 29,772 • Recovered 1,375,628 – Official Source: @n***l – #CoronavirusPakistan: https://***LE https://***cE', '#leadership #learning #AI #transformation #vision #learn #GKPath #PDT #DT #COVID19 Have a beautiful day of #MeaningfulGrowth, #GeniouxMG.❤️🇺🇸🌎\U0001fad0🚀 🚀Golden #knowledge (#GK) to wisely resolve the current lose-lose situation between #Russia and #Ukraine https://***1k https://***E1', '-']",-,content_A,post
t3896,u1795,2022-03-06 04:14:24+00:00,Covid,n***m,India ranks after the US in terms of #Covid19 cases. Details: https://***bQ https://***fb,"['Consumer sentiment broadly declined across the United States in February despite a rapid fall in new COVID-19 cases, as Americans’ economic concerns shifted from the pandemic to rising inflation. https://***lC #EconTwitter https://***qM', 'India ranks after the US in terms of #Covid19 cases. Details: https://***bQ https://***fb', ""#Birdflu outbreaks. If we don't work to migrate AnimalAg to plant-based products, the next #zoonotic #pandemic may be near. In past 6 months, over 40 countries reported new avian influenza case with World Organization for Animal Health (#OIE) incl. #US. https://***GH"", '-']",tweet_B,content_B,reply
t2341,u1235,2022-02-02 15:50:00+00:00,Covid,N***h,States are addressing school #MaskMandates amidst increasing youth vaccination rates and fluctuations in pediatric #Covid19 cases. Explore states’ up-to-date approaches to school COVID-19 vaccine and mask requirements: https://***kV,"['Encouraging news for parents in Oregon and around the country: Covid-19 vaccines may be available for children younger than five before the end of the month. https://***pn', 'States are addressing school #MaskMandates amidst increasing youth vaccination rates and fluctuations in pediatric #Covid19 cases. Explore states’ up-to-date approaches to school COVID-19 vaccine and mask requirements: https://***kV', 'We all have our own individual reasons for wanting to stop #COVID19: 🤗 hugging loved ones 💃 going out dancing ✈️ traveling ✅ being safe at work 🧘♀️ less stress Share this post and tell us what motivates you to act against Omicron?', '-']",-,content_B,post
t3103,u2674,2022-02-19 10:37:04+00:00,Covid,L***1,"#Health #Coronavirus #COVID19 #CovidVaccines —&gt; As states drop COVID-19 restrictions, some experts warn it's premature to declare victory - ABC News https://***EK","['#AVCNoticias| 💬💬💬 La tesorera municipal en #PozaRica se encuentra bajo investigación interna por las irregularidades que algunos regidores detectaron en relación a la adquisición de pruebas para la detección de #COVID19. #EstáEnAVC 👉https://***p9 https://***gX', '2/5 The effort could yield Africa’s first #COVID19 vaccine. Although vaccine experts had identified several companies on the continent with potential to make the vaccines, #African factories have largely been limited to filling and labelling bottles. https://***H7 https://***99', ""#Health #Coronavirus #COVID19 #CovidVaccines —&gt; As states drop COVID-19 restrictions, some experts warn it's premature to declare victory - ABC News https://***EK"", '-']",-,content_C,post
t1874,u0459,2021-10-07 22:48:35+00:00,Covid,d***y,UK has fully vaccinated ~80% of its &gt; 16 pop (67% of total) and their current situation is: •&gt; 1000 deaths per week •800 people on ventilators •5-10% kids off school for #COVID19 related reasons Critical that while we ⬆️ vax we also push #vaccinesPLUS &amp; #SafeIndoorAir,"['News: More than 140,000 U.S. children lost a primary or secondary caregiver due to the COVID-19 pandemic https://***eL', ""Supply chain professionals have played a central role in our hospitals' response to #COVID19, ensuring that everyone in their walls has the equipment they need to be protected. https://***0v"", 'UK has fully vaccinated ~80% of its &gt; 16 pop (67% of total) and their current situation is: •&gt; 1000 deaths per week •800 people on ventilators •5-10% kids off school for #COVID19 related reasons Critical that while we ⬆️ vax we also push #vaccinesPLUS &amp; #SafeIndoorAir', '-']",-,content_C,post
t3262,u0423,2022-02-21 14:20:29+00:00,Covid,P***i,-,"['The reframing of #Covid19 as dangerous only to the unvaccinated and clinically vulnerable is misguided and dishonest. For many, the disease will be mild, but the dangers of #LongCovid and serious illness remain. Covid is not flu. #CovidIsNotOver #PlagueIsland https://***M0', 'Singapore reports 15,836 new Covid-19 cases, 4 deaths https://***bw https://***Ba', 'Strategi Bali hadapi gempuran COVID-19 varian Omicron https://***f4', '-']",tweet_B,-,retweet
t2978,u1427,2022-02-17 12:26:11+00:00,Covid,M***o,"331 voti favorevoli, 45 contrari. Sì definitivo della Camera alla conversione del decreto n. 221/2021, recante proroga dello stato di emergenza nazionale e ulteriori misure per il contenimento della diffusione dell'epidemia da #Covid19 #OpenCamera https://***UW","['The ongoing disruptions of COVID-19 have created new risks and priorities for the industry in 2022. How will companies address these challenges while capitalizing on new opportunities? Find out here: https://***tx #Tech #TechIndustry', ""331 voti favorevoli, 45 contrari. Sì definitivo della Camera alla conversione del decreto n. 221/2021, recante proroga dello stato di emergenza nazionale e ulteriori misure per il contenimento della diffusione dell'epidemia da #Covid19 #OpenCamera https://***UW"", ""The #pandemic hasn't dampened the demand for #PrivateMarkets. This paper captures what we believe to be the top considerations for both limited partners (LPs) and general partners (GPs). https://***OS #investing https://***Mu"", '-']",-,content_B,post
