id,author_id,created_at,event_type,username,action_content,content_option,action_object_answer,action_content_answer,action_type_answer
t2241,u3116,2022-01-25 16:45:30+00:00,MeToo,M***T,"Explore the tips and practices we've compiled that might help articulate some things you may be feeling, ground you, and give you the tools to help take care of yourself while you navigate the effects of this ongoing #pandemic 👉🏿https://***xU #metoo #omicron #covid19 https://***pp","['@s***d Hi 👋🏼 I’m Amy. I’m a 51 year old fun devil. I also have a health condition called Cyclic Vomiting Syndrome (CVS) that leaves me vulnerable to the evils of Covid. #IHaveAPreexistingCondition Does the face of #chronicillness look different than you thought? https://***sj', ""Explore the tips and practices we've compiled that might help articulate some things you may be feeling, ground you, and give you the tools to help take care of yourself while you navigate the effects of this ongoing #pandemic 👉🏿https://***xU #metoo #omicron #covid19 https://***pp"", 'Hi, I’m Kathleen, a 39 yo startup founder serving the cancer community. After my Ewing’s treatment, one of my lungs collapsed + I have heart conditions that put me at high risk for Covid. @h***o and I are sharing #IHaveAPreexistingCondition so we aren’t forgotten about. https://***Vh https://***LE', '-']",tweet_B,content_B,reply
t3493,u3116,2022-02-25 17:24:57+00:00,MeToo,M***T,"During #BlackHistoryMonth, we're highlighting 'Joy Pioneers'—folks who have paved the way for our communities to live in joy. While our Joy Pioneers may not have identified as survivors, their work + commitment to Black communities make our collective liberation possible. #metoo https://***su","[""During #BlackHistoryMonth, we're highlighting 'Joy Pioneers'—folks who have paved the way for our communities to live in joy. While our Joy Pioneers may not have identified as survivors, their work + commitment to Black communities make our collective liberation possible. #metoo https://***su"", 'Visiting the Liberator General . . . #FromWhereIRide #cyclingshots #cyclingphotos #ridesnapshare #ihavethisthingwithbikes #Specialized #Crux #veloclub #veloclubcc #strava #stravacycling #WYMTM #MelBAAWn #StreetArt https://***x6', '#BlackLivesMatter #LoveWins #MeToo Roughly Half of americans have been civically active on #socialmedia in the past years ! @K***s @B***r @E***b https://***iw', '-']",-,content_A,post
t3907,u1155,2022-03-07 08:30:58+00:00,MeToo,M***s,-,"['在 #国际妇女节,我们要表扬面对中国日益缩窄的公民社会空间仍勇敢为人权挺身而出的女性人权斗士:女权及劳工运动者 #李翘楚、维权人士 #张展、独立记者 #黄雪琴,以及更多更多 🙌 阅读更多👇 李翘楚 https://***ub 张展 https://***MR #MeToo 改变中国?https://***Yt https://***wS', '#Ihaveadream #MLK #SaveUkraine #FreeUkraine #FreedomForUkraine #RussiaGoHome #GodBlessUkraine #Kyivunderattack #KyivUkraine #BraveUkraine #BraveUkrainians #BraveRussianDemonstrators https://***Gd', 'Police unions are modern day pimps. Police unions are sexual predator enablers. Police unions are thugs. Police unions can go to hell. Fuck patriarchy Fuck white supremacy Fuck police unions too. #MeToo #NDA #WomensHistoryMonth #PoliceToo #Breakthebluewallofsilence https://***mM', '-']",tweet_B,-,retweet
t2907,u2035,2022-02-16 16:31:53+00:00,MeToo,1***n,"It shouldn’t be like this, #JohnsonOut_23 is only dropping restrictions and stopping testing to appease the right wing #ERG and save his skin. #CovidIsNotOver #ToryCovidCatastrophe #Democide #CV #CEV #ihaveapreexistingcondition #IMatter https://***HQ","['It shouldn’t be like this, #JohnsonOut_23 is only dropping restrictions and stopping testing to appease the right wing #ERG and save his skin. #CovidIsNotOver #ToryCovidCatastrophe #Democide #CV #CEV #ihaveapreexistingcondition #IMatter https://***HQ', '#WorkforceWednesday: Whistleblower Regulations Increasing, #MeToo Bill Passes, Cyberfraud Risk Mitigation – Employment Law This Week® – JD Supra ChronLaw Employment Law News at https://***6P #EmploymentLaw #news #law #attorney #lawyer', 'Free booklet: ""Feminism as Fascism"" (a critique of the #MeToo campaign - #Feminism, #Fascism, #RadicalFeminism, #SCUMmanifesto, #SCUM, #Postmodernism, #ValerieSolanas, #Heterophobia, #SexualHarassment, #NotMe): https://***G2 https://***Jb', '-']",-,content_A,post
t2266,u3116,2022-01-27 19:33:38+00:00,MeToo,M***T,"Lauren Smith Fields should be alive today. Like many Black women, her story illustrates the distinct intersections of oppression that result in violence upheld by systems of misogyny and white supremacy. #metoo #JusticeForLaurenSmithFields https://***ef","['Lauren Smith Fields should be alive today. Like many Black women, her story illustrates the distinct intersections of oppression that result in violence upheld by systems of misogyny and white supremacy. #metoo #JusticeForLaurenSmithFields https://***ef', 'Και βέβαια ούτε η πανωλεθρία #ΑττικηΟδος, ούτε τα #2000_ευρω θα είναι αρκετά για να ξεχάσουμε ότι είμαστε #Με_την_Γεωργια και ότι περιμένουμε τις τοξικολογικές και όσα κατέθεσε ο Διαλυνάς #metoo #metooGR https://***hl', '#IWillNotWatch #Beijing2022! I support the #NoBeijing2022 alternative program of films, reading, listening about #Tibet, #Uyghurs, #HongKong and #China instead. Join Me - https://***Cx', '-']",-,content_A,post
t2758,u2459,2022-02-14 18:00:05+00:00,MeToo,F***s,"The #MeToo movement in France could play into the battle to unseat Emmanuel Macron in April's presidential election. The French president was elected with strong support from women, but that support has faltered 👇 https://***nA https://***Lx","[""The #MeToo movement in France could play into the battle to unseat Emmanuel Macron in April's presidential election. The French president was elected with strong support from women, but that support has faltered 👇 https://***nA https://***Lx"", 'Can you see the open door, today? #metooheal #ThrivingAfter #InspiringThriving #thriving #inspiration #healingjourney #healingtrauma #traumarecovery #traumahealing #traumasurvivor #survivor #survivorofabuse #selfhelp #abuserecovery #abusesurvivor #sexualabuse #childsexualabuse https://***sZ', ""@S***r @N***s Let's all remember who started these covid conversations while we're at it. #IwillNotWatch #NoBeijing2022 #BoycottBeijingOlympics #BoycottBeijing2022 #CCPLiedPeopleDied #CCPVirus #FreeUyghurs #FreeTibet #Xinjiang #ccp_is_terrorist #BoycottMadeInChina"", '-']",-,content_A,post
t2102,u1459,2022-01-06 22:03:40+00:00,MeToo,K***l,It may be goodbye @S***b but you won’t get rid of me that easily!! #IWillNeverLeave #BringTheMerry #ThanksToTheRealManagers https://***19,"['It may be goodbye @S***b but you won’t get rid of me that easily!! #IWillNeverLeave #BringTheMerry #ThanksToTheRealManagers https://***19', 'آرزو می کنم که این شعله ها طرحی نو در ذهنها دراندازد تا که حال سرزمینمان باز خوش شود #ps752justice #IWillLightACandleToo https://***kt', 'حیف از اون لبخندها که سوختند. #PS752 #IWillLightACandleToo https://***lI', '-']",-,content_A,post
t2616,u2443,2022-02-10 21:48:57+00:00,MeToo,D***n,Great to be collaborating on this project led by @L***a supported by the #iwillFund @i***n @C***n @i***o @C***1 @C***s @I***I @r***e &amp; a team of #youngpeople bereaved by #suicide. Co-design workshops start 22/02/22 https://***95,"['Day 6/16 of #Beijing2022 #Olympics #BoycottBeijing2022 #BoycottBeijingOlympics #NoGenocideGames #iwillnotwatch #NoBeijing2022 #NoRightsNoGames #UyghurGenocide #HongKongers #Tibet #FreeTibet #StopGenocide #Uyghurs #China #WinterOlympics2022 #IOC #WhereIsPengShuai #FreeHongKong https://***Fq', 'Great to be collaborating on this project led by @L***a supported by the #iwillFund @i***n @C***n @i***o @C***1 @C***s @I***I @r***e &amp; a team of #youngpeople bereaved by #suicide. Co-design workshops start 22/02/22 https://***95', ""L'Olanda avrà il suo commissario al #MeToo: si tratta di Mariette Hamer, ex leader del partito laburista. È la misura adottata dal governo per fronteggiare i recenti scandali sessuali https://***RF"", '-']",-,content_B,post
t3569,u1448,2022-02-27 14:35:42+00:00,MeToo,M***n,-,"['Very weird but super excited to see my #memoir translated into Italian for the first time! Sadly we know that my story of sexual violence is a global issue I hope it help others to find their voice too @j***s @H***i #Unbroken #metoo #Italy https://***ju', ""Salutations to that #narcissisticneighbor talking about me poking fun about my mother being here well she's here what seems to be the problem with that? Lol. Jealous about my relationship? Be well and God bless 🙌 🙏 ❤ #narcissisticabuse #mentalhealthawareness #MeToo #retweet"", '#F1 #FIA #skyF1 #espn #BBCSport #cnni #eu @a***1 #redbullracing #ROLEX #HP #Honda #TAGHeuer #Siemens #metoo #Oracle #pumamotorsport #istandwithlewis #netflix #whiteprivilege #whitewashing @w***l #ReleaseTheFIAreport #VoidLap58 #misogyny #warwickOUT https://***hD', '-']",tweet_C,-,retweet
t1922,u1580,2021-11-09 04:47:57+00:00,MeToo,A***x,"Let's celebrate the men in our lives for who they are! Tune in to the International #MensDay binge on November 19, all day long. #Men #gentleman #internationalmensday #mensrights #mentoo #meninist #equality #himtoo #masculinity #mensday #meninism #malepositivity #youareamazing https://***M5","['#IWILLNOTSUBSCRIBE', ""Let's celebrate the men in our lives for who they are! Tune in to the International #MensDay binge on November 19, all day long. #Men #gentleman #internationalmensday #mensrights #mentoo #meninist #equality #himtoo #masculinity #mensday #meninism #malepositivity #youareamazing https://***M5"", ""@C***g issue 4 is out! Featuring Journalist @a***2 exploring how the anonymous internet is allowing women to share stories of misogyny, harassment and assault, and to drive forward Pakistan's #MeToo reckoning https://***t7"", '-']",-,content_B,post
